Key,English [en-GB]
EVENT_CITY_CAMPAIGN_69_OPTION_A,Embrace the joke and go with it.
EVENT_CITY_CAMPAIGN_69_OPTION_B,Leave the bar before someone recognizes you.
EVENT_CITY_CAMPAIGN_69_RESULT_A,"You make your way to the front of the crowd and join in the fun. When the Soothsinger notices you in the crowd, she brings you up on stage for the chorus. It’s a little embarrassing, but people are enjoying your positive attitude about it."
EVENT_CITY_CAMPAIGN_69_RESULT_B,"You flee the bar to escape the tune, but it doesn’t prove to be that simple. The next day, everyone on the street is humming the tune. They all seems to be looking at you and laughing. It’s a nightmare."
EVENT_CITY_CAMPAIGN_6_INTRO,"You awake in the middle of the night to the sound of alarms ringing in the west. You recognize them as the warning clangs of an attack on the wall.<br><br>Any force bold enough to assault the defenses of Gloomhaven can’t be good. For a moment you are grateful for the prolific number of guards defending the city. But still, there is always the possibility that the guards may not be enough."
EVENT_CITY_CAMPAIGN_6_OPTION_A,Go aid in the defense of the city. 
EVENT_CITY_CAMPAIGN_6_OPTION_B,"If the guards are distracted by an attacking force, now would be the perfect time to steal some valuables."
EVENT_CITY_CAMPAIGN_6_RESULT_A,"You rush toward the West Gate, eager to fight back the invaders. As you approach, you see a mass of Vermlings climbing over the wall and attacking the guards with daggers and arrows. You yell and charge into the battle. It is a rough fight, but you emerge victorious, covered in fur and blood. The citizens of Gloomhaven remain safe, and the town is free to grow and prosper."
EVENT_CITY_CAMPAIGN_6_RESULT_B,"The town erupts into chaos with panicked cries of “Vermlings!”—a perfect opportunity to collect some valuables. Slinking around to an abandoned shop, you find a way in and pilfer the safe. In the morning, the devastation from the assault is noticeable. Downtrodden looks greet you as you pass, and you wonder if your presence was missed along the walls."
EVENT_CITY_CAMPAIGN_70_INTRO,"You are wandering the Sinking Market looking for possible work when you are approached by a dirty-looking boy with a scar on his cheek.<br><br>You greet him warmly. He has given you leads on a number of mercenary jobs and you recently helped him avoid a jail cell.<br><br>“I need some help, and I really don’t know who else to turn to,” he begins. “All of us here in the Sinking Market are in a bad way. Our houses are collapsing, our water is foul, and we don’t even have enough money for food.<br><br>“We are dying here, and the city is doing nothing to help us. You have friends in high places, right? Please, there’s gotta be someone you can talk to.”"
EVENT_CITY_CAMPAIGN_70_OPTION_A,Talk to some merchants about revitalizing the area.
EVENT_CITY_CAMPAIGN_70_OPTION_B,Regretfully explain that you don’t have the power to effect change like this.
EVENT_CITY_CAMPAIGN_70_RESULT_A_A,"You head to the Coin District and meet with a member of the merchant’s guild you’ve had dealings with before. He looks at you skeptically, but says he will see what he can do about making the area more livable."
EVENT_CITY_CAMPAIGN_70_RESULT_A_B,Every merchant you try to talk to about the issue laughs you out of the room. Why help others when there is no profit in it for them?
EVENT_CITY_CAMPAIGN_70_RESULT_B,"You explain that while you do have some power in the town, the Sinking Market may be a lost cause. More and more of the district is sinking into the sea every day, as it has been doing for as long as the town has existed. You can’t convince merchants to spend money on something that will one day be underwater."
EVENT_CITY_CAMPAIGN_71_INTRO,"You are walking along the river’s edge in the Mixed District late at night when something in your pack begins to vibrate. The sensation is odd and you quickly fish out the small metal sphere you found out on the road. It shakes uncontrollably and then begins pulling your arm toward the river.<br><br>You walk to the bank, but still the sphere pulls. It is drawn to something in the water."
EVENT_CITY_CAMPAIGN_71_OPTION_A,Let the sphere go.
EVENT_CITY_CAMPAIGN_71_OPTION_B,Jump into the river and continue to follow the sphere’s pull.
EVENT_CITY_CAMPAIGN_71_RESULT_A,"The sphere leaps from your hand, hovers over the water, and then emits an intense beam of light straight down into the river, illuminating something below.<br><br>You shrug and jump into the river, following the beam of light down to the bottom. There you find a wooden chest half buried under the rocks. You bring it back to shore and open it to find a small metal rod covered in strange carvings. When you pick it up, the sphere immediately flies back over to you and attaches itself to the rod’s end."
EVENT_CITY_CAMPAIGN_71_RESULT_B,"As soon as you jump into the cold, brackish waters, the sphere stops vibrating or pulling. You swim for a while in the direction it was pulling, but eventually you realize you are on a fool’s errand. You emerge from the river wet and miserable with absolutely nothing to show for it."
EVENT_CITY_CAMPAIGN_72_INTRO,"The metal sphere and rod—you’ve had them in your possession for a while now and occasionally pull them out to mull over the carvings. You’ve brought it to the University, but they can’t make any sense of it either.<br><br>You are fiddling with the device in the Sleeping Lion when you are tapped on the shoulder. You turn to see a wicked grin on the dirty face of a old bandit. “They call me Fish, and that there is a key, friend—a key of the ancient sort.”<br><br>Before you can ask, Fish pulls out a similar black sphere atop a metal rod. “They’re twins, ain’t they, and Fish knows just what they open. A tomb of treasure, friend. Come, come, Fish will show you the way.”"
EVENT_CITY_CAMPAIGN_72_OPTION_A,Follow the smelly old bandit.
EVENT_CITY_CAMPAIGN_72_OPTION_B,Refuse to go with the man. This whole situation seems...fishy.
EVENT_CITY_CAMPAIGN_72_RESULT_A,"Your curiosity gets the better of your judgment. You need to know the purpose of the device you found, so you follow Fish into a derelict shack where he pulls out a map of the area and lays it on a table. Fish directs you to pull out your rod and both you and he hold your respective rods over the table.<br><br>A specific location on the map glows brightly and Fish laughs. “See? I told ya, didn’t I? Meet me there with your rod and we’ll get rich!”"
EVENT_CITY_CAMPAIGN_72_RESULT_B,This suspicious old man must have seen you in here before with the rod and fashioned some elaborate con to swindle you out of something. You won’t be so easily fooled. There’s no way he knows what the rod does when no one else in town does. You push him away and go back to your drink.
EVENT_CITY_CAMPAIGN_73_INTRO,"You awake in your bed to sensation of someone shaking you, but when you look around, you see no one else in your room. Instead, you see that it’s the entire room that’s shaking.<br><br>Your thoughts immediately go to the crystal you found inside the mountain along the road. You quickly search through your belongings and grab the crystal in your hand. The earthquake immediately stops.<br><br>Clearly this thing has some power and you need to deal with it before more damage is done."
EVENT_CITY_CAMPAIGN_73_OPTION_A,Seek help from the University.
EVENT_CITY_CAMPAIGN_73_OPTION_B,Throw the crystal into the bay. 
EVENT_CITY_CAMPAIGN_73_RESULT_A,"“Yes, very interesting,” a bookish Quatryl says as he rolls the crystal over in his hand. “It seems as if this crystal is attuned to a specific location, and once removed, it begins vibrating until mountains and houses start falling down. I’d say you need to return it to its proper home. With the proper tools—which I’ll need help paying for—I should be able to triangulate that location for you.”"
EVENT_CITY_CAMPAIGN_73_RESULT_B,"Not wanting to waste your time with the problem, you walk to the docks and throw the crystal into the bay. When you hear reports of harsher weather and larger waves hitting the docks, you try not to pay them any mind."
EVENT_CITY_CAMPAIGN_74_INTRO,"“Welcome to the Marvelous and Magic Techno-Circus!” The Quatryl with a top hat you met on the road greets you as you enter the circus tent. “We always welcome our friends to come and see the wondrous sights!”<br><br>You wander around the pavilion for a while, looking at all signs for all manner of improbable creatures. Ultimately you will have to decide on what to see first."
EVENT_CITY_CAMPAIGN_74_OPTION_A,Go watch the dancing bear.
EVENT_CITY_CAMPAIGN_74_OPTION_B,Visit the famed fortune-teller.
EVENT_CITY_CAMPAIGN_74_RESULT_A,"You enter a smaller tent off the main one and come face-to-face with what is indeed a dancing bear. Its handler stands to the side, prodding it on occasion, while the bear stands on its hind two legs and shuffles back and forth. It is amusing until the handler prods the bear one too many times and the bear becomes enraged and attacks. You quickly jump into action and subdue the bear, saving the handler from getting mauled to death."
EVENT_CITY_CAMPAIGN_74_RESULT_B,"You enter the fortune-teller’s tent and the old Orchid woman’s expression immediately goes dark. She gestures you to sit at her table, and when you do, she grabs your arm and looks deep into your eyes.<br><br>“Your path is dark and cursed. There is a shadow around you—a Gloom. You must leave this place. Be rid of it before it consumes you.”"
EVENT_CITY_CAMPAIGN_75_INTRO,"Returning to Gloomhaven after your latest outing, you are approached by the Captain of the Guard at the city gates.<br><br>“Ah, I was hoping I might catch you here sooner or later,” he says. “I have still been receiving reports about large, flying lizards from the scouts. Tell me, have you gotten to the bottom of that situation yet?”"
EVENT_CITY_CAMPAIGN_75_OPTION_A,Lie and say that you are still working on it.
EVENT_CITY_CAMPAIGN_75_OPTION_B,Tell the Captain you decided not to kill the Elder Drake.
EVENT_CITY_CAMPAIGN_75_RESULT_A,"“Oh, hmm...well, that’s disappointing.” The Captain looks at you with dejected frustration. “If you could, please look into the sightings as soon as you can. I’d hate to think of some giant flying creature attacking the city.”"
EVENT_CITY_CAMPAIGN_75_RESULT_B,"“Oh, my...well, okay.” The Captain looks at you with stunned curiosity. “So there is a massive, fire-breathing drake up in the mountains, and you decided there was no reason to kill it? Interesting.”<br><br>The Captain wanders off, mumbling about needing to find better help."
EVENT_CITY_CAMPAIGN_76_INTRO,"You are walking through the new docks when a well-dressed merchant flags you down.<br><br>“Oh, my, what a fortuitous encounter,” he whispers as you approach. “May I buy you a drink? I have a very sensitive job for you, and I’d like to avoid the prying eyes around us.”<br><br>The merchant, an iron dealer named Gavin, makes a gesture toward a large group of dock workers. “I can’t trust anyone. Well, anyone except you of course.”"
EVENT_CITY_CAMPAIGN_76_OPTION_A,Accept the drink. 
EVENT_CITY_CAMPAIGN_76_OPTION_B,Decline the suspicious offer and continue your business.
EVENT_CITY_CAMPAIGN_76_RESULT_A_A,"“Excellent! Someone has been attacking my ships at sea and I need to get to the bottom of it. Come, I’ll tell you the details.”"
EVENT_CITY_CAMPAIGN_76_RESULT_A_B,"“Oh, whoops,” Gavin stammers. “From far away, you looked like someone else. Just ignore what I said.”"
EVENT_CITY_CAMPAIGN_76_RESULT_B,Gavin looks flabbergasted as you walk away. “Who will protect my ships when there is no one to trust? I guess I’ll just have to keep looking.”
EVENT_CITY_CAMPAIGN_77_INTRO,"“Well, well, well. If it isn’t the most notorious band of mercenaries in all of Gloomhaven. The guards looking to throw you in the Ghost Fortress yet, or are they on the payroll?”<br><br>You turn around to see Red Nick, a well-known fence, leaning up against the wall. You’ve had certain dealings with him in the past.<br><br>“Fancy seeing you, actually,” he says. “I’ve got a big job, and I figure if anyone wouldn’t mind digging up graves, it would be you miscreants.”"
EVENT_CITY_CAMPAIGN_77_OPTION_A,Do the job.
EVENT_CITY_CAMPAIGN_77_OPTION_B,Claim you’ve changed your ways and grave robbing is a step too far.
EVENT_CITY_CAMPAIGN_77_RESULT_A_A,"“That’s the money-loving criminals I know and love! Come take a walk with me, and I’ll explain how we can all get rich.”"
EVENT_CITY_CAMPAIGN_77_RESULT_A_B,"“Oh, whoops,” Nick stammers. “From the back you looked like...uh, never mind. Forget I said anything.”"
EVENT_CITY_CAMPAIGN_77_RESULT_B,"“A downright shame, I say.” Nick shakes his head. “I guess I’ll just have to find a group of mercenaries who actually are interested in making a mountain of money.”"
EVENT_CITY_CAMPAIGN_78_INTRO,"The scene is typical. A nervous-looking man stands in front of your table at the Sleeping Lion. You eye him lazily until he speaks.<br><br>“I was, um, told you might be able to help me,” he starts. “I was in the Corpsewood conducting some, uh, business, when my partners and I were attacked by Vermlings. I barely escaped with my life, but my partners weren’t so lucky.<br><br>“One of them was carrying something valuable—an artifact we managed to find in our, uh, business. It’s very important I get it back. I followed the Vermlings back to their nest, and I can assure you they have many valuables. I’ll show you where it is, and you can take whatever you want. Just bring me back the artifact.”"
EVENT_CITY_CAMPAIGN_78_OPTION_A,Accept the man's deal.
EVENT_CITY_CAMPAIGN_78_OPTION_B,Demand payment for the job up-front.
EVENT_CITY_CAMPAIGN_78_RESULT_A,"The sweaty man is all too eager to give you the details of where to find this nest.<br><br>“Once you clear the Vermlings and find the artifact, you should be able to locate a large stash of valuables in a pit back behind the main camp. Take whatever you want, just return the artifact to me.”<br><br>You smile and nod. After taking the valuables, you should be able to squeeze quite a bit extra out of this fellow as well when you return."
EVENT_CITY_CAMPAIGN_78_RESULT_B,"“Look...I, ah, don’t have a whole lot of capital right now, but I will give you everything I have once you get back with that artifact.”<br><br>You narrow your eyes at him. He coughs nervously and produces a small handful of coins.<br><br>“All right, fine. Look, here. This is all I can offer you. Now can we get to the part where you go do your job?”"
EVENT_CITY_CAMPAIGN_79_INTRO,The sun is out and you are enjoying a pleasant stroll across the Silent Bridge until you see two demons attacking a man ahead of you.<br><br>You get closer and can hear the demons berating the man as they swipe at him with their claws.<br><br>“You dare spit on us as we walk past?” One of them yells. “We will show you the consequences of defying authority!”
EVENT_CITY_CAMPAIGN_79_OPTION_A,Intervene on the man's behalf.
EVENT_CITY_CAMPAIGN_79_OPTION_B,Keep walking. 
EVENT_CITY_CAMPAIGN_79_RESULT_A,There is only one method these demons respect: violence. You run forward and hack at one of the demons’ arms as it comes down to strike at the man. The arm falls limp to the ground and the rest of the demon soon follows.<br><br>The other demon looks at you with seething rage as you face it with raised weapons. “This grave insult will not go unpunished! This city will feel our wrath!”
EVENT_CITY_CAMPAIGN_79_RESULT_B,"You continue your stroll, trying to block the unpleasantness from your mind. Unfortunately, others around you cannot, and they are reminded of the actions you took that caused this horrible and all-too-frequent occurrence."
EVENT_CITY_CAMPAIGN_7_INTRO,Occasionally your dealings in town lead you past the bustling docks. All conversation gets drowned out by the constant din of loading and unloading cargo and crew. This makes it all the more surprising when you hear a voice above the noise directed straight at you.<br><br>“Oi! You with the hard looks and big arms! I desperately need some help o’er here! Spare a few minutes to help make sure I get out of port on time? Otherwise I’ll be stuck here until tomorrow!”
EVENT_CITY_CAMPAIGN_7_OPTION_A,Help the captain load his ship.
EVENT_CITY_CAMPAIGN_7_OPTION_B,Move on with your business. You don't have the time or inclination for such things. 
EVENT_CITY_CAMPAIGN_7_RESULT_A,"What was advertised as a few minutes turns out to be an hour or two as you lug large crates full of some foul-smelling liquid from a nearby warehouse into the hold of the ship. At least the captain is relieved that he’ll be able to set sail on time, though. He gratefully pays you, but you can’t help but think that such menial labor might be beneath you."
EVENT_CITY_CAMPAIGN_7_RESULT_B,"Unwilling to be bothered by such trivial matters, you continue on your way amidst curses from the ship’s captain. “Blast it all! You’ll get nowhere in life with that sort of attitude!”"
EVENT_CITY_CAMPAIGN_80_INTRO,"As you prepare to leave the city on another journey, you are suddenly surrounded by a large group of guards near the west gate.<br><br>“We hear you’ve been spreading rumors,” one of them says. “Claiming that the guards are causing the Vermling attacks on the city. That’s some high-grade garbage you’re spewing.”<br><br>“My best friend died in the last Vermling raid!” another one yells. “You got something smart to say about that?”"
EVENT_CITY_CAMPAIGN_80_OPTION_A,Attempt to calm down the guards and explain the situation.
EVENT_CITY_CAMPAIGN_80_OPTION_B,These guards are not interested in a friendly discourse. Prepare to defend yourself.
EVENT_CITY_CAMPAIGN_80_RESULT_A_A,"You adopt a serious tone and do your best to communicate that you had nothing to do with what was written in the Town Records. You express remorse for their hardships, and, miraculously, the mob grows calmer and disperses."
EVENT_CITY_CAMPAIGN_80_RESULT_A_B,"You laugh and claim that this is all some big misunderstanding. The guards don’t see it that way, but your lack of aggression at least stops them from attacking you. They leave, grumbling threats."
EVENT_CITY_CAMPAIGN_80_RESULT_B,"Seeing the situation turning south, you waste no time pulling your weapons and prepare for an attack. The guards are more than happy to oblige.<br><br>Luckily your foes sustain only some minor injuries in the time it takes for another squad of guards to arrive and break up the scuffle. They let you go on your way, but you can see the disdain in all of their eyes."
EVENT_CITY_CAMPAIGN_81_INTRO,"“Hey, aren’t you the mercenaries who stopped that weird tornado from destroying the city?”<br><br>You turn to see a dirty dock worker pointing at you with wonder in his eyes. “What was that all about anyway?”<br><br>More people stop and stare at you. This has become an unfortunately common occurrence since the Gloom was destroyed. You have become something of a minor celebrity in Gloomhaven."
EVENT_CITY_CAMPAIGN_81_OPTION_A,Take the time to relate the story of what happened. 
EVENT_CITY_CAMPAIGN_81_OPTION_B,Claim it wasn't you and leave quickly. 
EVENT_CITY_CAMPAIGN_81_RESULT_A,"You smile and nod, explaining how an ancient force attempted to destroy the city, but it was banished to another plane. Everyone around you stands enraptured by your story and cheers and claps at its conclusion.<br><br>After a few additional questions, you are finally able extricate yourself from the crowd and continue your business."
EVENT_CITY_CAMPAIGN_81_RESULT_B,"You brusquely shake your head and wave your hand away, saying the man has the wrong person. His excited face immediately turns to one of disappointment. And audible sigh of dejection emerges from the crowd as you rush away.<br><br>“There’s no need to be rude about it!” the dockworker yells at your back."
EVENT_CITY_CAMPAIGN_82_INTRO,"In a rare moment of peace and quiet you find yourselves looking out over the dockside and spend a few minutes discussing how the last mission went down. <br><br>""Mercenaries eh?"" says a voice from behind you. You turn and see a young street urchin, ""I'm sure you think you are pretty tough, but are you brave enough for a real challenge?"""
EVENT_CITY_CAMPAIGN_82_OPTION_A,"Wave the child away, they clearly have nothing of interest for professionals like you."
EVENT_CITY_CAMPAIGN_82_OPTION_B,A challenge? Count us in!
EVENT_CITY_CAMPAIGN_82_RESULT_A,"""Well, next time then.  Maybe this will help change your mind.""<br><br>They flip a single gold piece... You laugh as they run off into the crowds.<br>"
EVENT_CITY_CAMPAIGN_82_RESULT_B,"""I knew it!"", they giggle excitedly and pass you a note.<br><br>You open it, on it are scrawled a few words:<br><br>“Are you brave enough to face the swarm?"" and a crude drawing of a building that looks a lot like the Sleeping Lion.<br><br>When you look up, the child has gone."
EVENT_CITY_CAMPAIGN_8_INTRO,"On a trip to the New Market, you see a curious sea chart prominently displayed in a Valrath merchant’s stall.<br><br>“Ah, I see this interests you!” he says while holding it up, taking great care not to damage it. “I’ve been told this map will lead you to a location of untold riches! Wondrous beyond anything you have seen before!”<br><br>The Valrath gestures grandly with his free hand and his smile grows wide. “How can you say no to this? Just make me an offer."""
EVENT_CITY_CAMPAIGN_8_OPTION_A,The map does look valuable. Decide to bargain for it. 
EVENT_CITY_CAMPAIGN_8_OPTION_B,Refuse to deal with the merchant. 
EVENT_CITY_CAMPAIGN_8_RESULT_A_A,"After some amount of haggling back and forth, you settle on a price and pay for the map. You recognize some of the landmarks and should be able to find this place of “untold treasure” by hiring a ship."
EVENT_CITY_CAMPAIGN_8_RESULT_A_B,"Despite your valiant efforts, you cannot get the merchant to lower his price to something you can afford."
EVENT_CITY_CAMPAIGN_8_RESULT_B,"Wary of the merchant’s overly exuberant nature, you politely decline his offer and go about your intended business."
EVENT_CITY_CAMPAIGN_9_INTRO,"After a night of heavy drinking, you get turned around while navigating the back alleys and find yourself standing before a collapsed section of bricked road that leads down into an underground tunnel.<br><br>Fueled by curiosity and a bit of liquid courage, you descend in search of adventure. Stumbling around in the vast network of tunnels proves rather fruitless, however, until a well-concealed passage leads you to a long-forgotten stash of weaponry and dried food.<br><br>The stuff could fetch a decent price at the Sunken Market, or you could turn it over to the city guard, which is always in need of arms and rations."
EVENT_CITY_CAMPAIGN_9_OPTION_A,Sell the goods.
EVENT_CITY_CAMPAIGN_9_OPTION_B,Donate the goods to the city. 
EVENT_CITY_CAMPAIGN_9_RESULT_A,"Using a few less-than-savory contacts, you’re able to unload the goods for a respectable price. Who knew drunken strolls could prove so profitable?"
EVENT_CITY_CAMPAIGN_9_RESULT_B,"You sleep off the previous night’s revelries and approach the Captain of the Guard. “This is wonderful news! With attacks on the city becoming ever more frequent, our blacksmiths are having trouble keeping up with our demands. And the food should help considerably if we ever find ourselves under siege. This is truly a big help to the city.”"
EVENT_Duel,"You hear the clashes and clangs of what sounds like a fight taking place up ahead. As you draw near, you see a Savvas and an Inox locked in a fierce duel.<br><br>They both notice your arrival and call to you for aid."
EVENT_Duel_A,Help the Savvas
EVENT_Duel_A_Unavailable,Inox will not put Savvas above us!
EVENT_Duel_B,Help the Inox
EVENT_Duel_B_Unavailable,Savvas will not side against their kin!
EVENT_Duel_BreakUp_Gained_Damage,"You leap into their midst in attempt to break up the fight – but at that exact moment the Savvas summons spikes of earth from the ground intended for the Inox.<br><br>Despite injuries sustained from the spikes you successfully manage to drag them away from each other, allowing them to calm down.<br><br>Without explaining why they were fighting, they each wrest themselves from your grasp and storm off, heading down the path in opposite directions."
EVENT_Duel_BreakUp_Gained_Item,"You leap into their midst in attempt to break up the fight – however, each thinks that you've joined the other's side and they both flee!<br><br>In the confusion, one of them drops a ¬Duel_BreakUp.Item¬. You pick it up and continue down the road, wondering what the two of them were fighting about."
EVENT_Duel_BreakUp_Gained_XP,"You leap into their midst in attempt to break up the fight. You successfully manage to drag them away from each other, allowing them to calm down.<br><br>Without explaining why they were fighting, they each wrest themselves from your grasp and storm off, heading down the path in opposite directions."
EVENT_Duel_C,Attempt to break up the fight without killing either
EVENT_Duel_D,Ignore them and carry on walking
EVENT_Duel_HelpInox_Gained_Gold,"You side with the Inox, and the Savvas flees, seeing he is outnumbered. The Inox thanks you for your assistance, and hands you a small pouch of gold before bidding you farewell."
EVENT_Duel_HelpInox_Gained_Item,"You side with the Inox, and the Savvas flees, seeing he is outnumbered. The Inox thanks you for your assistance, and hands you a Power Potion before bidding you farewell."
EVENT_Duel_HelpSavvas_Gained_Infusions,"You side with the Savvas, and the Inox flees, seeing he is outnumbered.<br><br>The Savvas thanks you for your assistance, but apologises for not having anything tangible to give you as thanks.<br><br>Before you part ways however, the four power cores in his chest glow brightly as he offers you elemental aid for your next encounter, infusing the four elements he has attained mastery over for you."
EVENT_Duel_HelpSavvas_Gained_Item,"You side with the Savvas, and the Inox flees, seeing he is outnumbered. The Savvas thanks you for your assistance, and hands you a potion before bidding you farewell."
EVENT_Duel_Leave,"You decide not to interfere, and continue down the path, the sounds of their battling fading as you walk away."
EVENT_ROAD_CAMPAIGN_10_INTRO,"You have only just wandered off the main road in search of your destination when the ground begins to shift beneath your feet. <br><br>What was once solid now gives way, and you find yourself falling down into a dark pit. You land twenty feet down, cushioned by the soil that fell with you. <br><br>You stand up with alertness and look around, trying to get your bearings. You have fallen into a man-made cavern with some smooth stone walls and floors. <br><br>This could be a trap or just some long-forgotten structure. "
EVENT_ROAD_CAMPAIGN_10_OPTION_A,Use weights and ropes to climb out of the hole as quickly as possible. 
EVENT_ROAD_CAMPAIGN_10_OPTION_B,Explore the area. 
EVENT_ROAD_CAMPAIGN_10_RESULT_A,"You tie one of your weapons to a long rope and manage to hook it onto a sturdy tree root hanging over the pit. With enough effort, you are able to extricate yourself from the pit and get as far away as possible before the situation gets worse. You suffered some minor scrapes and bruises in the fall, but you cound yourself lucky. "
EVENT_ROAD_CAMPAIGN_10_RESULT_B,"Lighting a torch, you see a number of passages leading you out of the stone room. Unfazed, you head down one of them and begin exploring the network of chambers. In one, you find a pedestal and, sitting atop that, a small, metal sphere. <br><br>You take the strange sphere and continue your search, but the only other remarkable thing you find is an exit. "
EVENT_ROAD_CAMPAIGN_11_INTRO,"You are headed through a mountainous region when the ground begins to shift and shake beneath you. Taken off your guard, you fall to your knees. <br><br>The tremors continue unabated and grow stronger. You hear rumbling as rocks begin to tumble down the mountainside."
EVENT_ROAD_CAMPAIGN_11_OPTION_A,Try to find a clearing where you can avoid the falling rocks.
EVENT_ROAD_CAMPAIGN_11_OPTION_B,Take cover under a nearby outcropping and wait out the earthquake. 
EVENT_ROAD_CAMPAIGN_11_RESULT_A,"You race forward, scanning the area for an open space where the danger from rock slides will be less severe. After dodging some rocks and getting hit by others, you find a relatively safe area and wait for the chaos to subside. "
EVENT_ROAD_CAMPAIGN_11_RESULT_B_A,"You jump under an outcropping, but something is not right. Those among you tuned to the elements turn toward the face of the mountain and step into it, as though the rocks were gone, Inside, you see an odd crystal jutting out of the earth. You snatch it up, and the tremors stop. "
EVENT_ROAD_CAMPAIGN_11_RESULT_B_B,The outcropping proves to be an unstable place to hide. You are quickly buried in rubble. 
EVENT_ROAD_CAMPAIGN_12_INTRO,"A rustling in a nearby thicket stops you in your tracks. You crouch down and assume a defensive stance. <br><br>Suddenly, a tiny ball of fur with short, stubby legs leaps out at you, It barks at you twice in a ineffectual, high-pitched tone and then begins to wag its tail. <br><br>You relax your weapons. What is such a small, defenceless puppy doing out in the wilderness?"
EVENT_ROAD_CAMPAIGN_12_OPTION_A,Leave the puppy to fend for itself.
EVENT_ROAD_CAMPAIGN_12_OPTION_B,Take the puppy and bring it back to Gloomhaven.
EVENT_ROAD_CAMPAIGN_12_RESULT_A,"Adorable as the puppy is, you are not the ones to care for it. You are headed into danger, and you can't let anything distract you from the task at hand. It follows you for a while, barking in indignation, but it eventually wanders off. "
EVENT_ROAD_CAMPAIGN_12_RESULT_B,"You sigh and lift the puppy into your arms. It barks happily and licks your face. This will surely prove a distraction in your upcoming battle, but once you get back to Gloomhaven, you should be able to find it a nice home. "
EVENT_ROAD_CAMPAIGN_13_INTRO,"Traveling off the beaten path, you are surprised to see a large group of figures on the horizon. You take out your weapons and move cautiously forward. <br><br>As you get closer, it becomes clear that the figures are not alive, but sculptures of some kind, made haphazardly out of branches, garbage, and scrap metal. There are fifty or so in the middle of a field, with no other signs of life as far as you can see. <br><br>You see a necklace that may be valuable on one of them and go to grab it.<br><br>""Don't touch her!"" You wheel around to see an old man in rags emerge from a hole in the ground and charge at you with a broken broom handle. ""These women are all mine!"""
EVENT_ROAD_CAMPAIGN_13_OPTION_A,Defend yourself with lethal force.
EVENT_ROAD_CAMPAIGN_13_OPTION_B,Attempt to calm down the hermit and resolve the situation peacefully. 
EVENT_ROAD_CAMPAIGN_13_RESULT_A,"With a single swing of your sword, the old man's head separates from his body and tumbles to the ground. The stench coming from his rags is terrible, so you grab what valuables you can find and quickly move on. "
EVENT_ROAD_CAMPAIGN_13_RESULT_B,"You grab the broom handle and wrestle the old man to the ground, attempting to restrain his flailing limbs. You try to explain that this is all a misunderstanding, but he just keeps warning you not to defecate on his wives. The man is surprisingly agile, and the stench of his rags also makes keeping him pinned difficult. He slips free and scrambles around for his broom handle, muttering about the ""stars' gift."" You run away with haste, but his odor is much harder to escape. "
EVENT_ROAD_CAMPAIGN_14_INTRO,"You are walking down the road when the sound of many wings pulls your gaze to the sky. Above you, you see a large flock of white birds flying southward. <br><br>At that height, you figure a well-aimed arrow could bring one of them down to make a nice meal. "
EVENT_ROAD_CAMPAIGN_14_OPTION_A,Shoot at the birds. 
EVENT_ROAD_CAMPAIGN_14_OPTION_B,Let the birds pass undisturbed. 
EVENT_ROAD_CAMPAIGN_14_RESULT_A,"You pull back your bow and take aim. The arrow flies true and connects with one of the birds. You retrieve it, pluck it, cook it, and eat it. Definitely beats the field rations you carry with you. "
EVENT_ROAD_CAMPAIGN_14_RESULT_B,"The shot would be difficult, and you'd prefer not to waste the arrow. You simply move on toward your destination.  "
EVENT_ROAD_CAMPAIGN_15_INTRO,"You are walking down the road when the sound of many wings pulls your gaze to the sky. Above you, you see a large flock of red birds flying southward. <br><br>At that height, you figure a well-aimed arrow could bring one of them down to make a nice meal. "
EVENT_ROAD_CAMPAIGN_15_OPTION_A,Shoot at the birds. 
EVENT_ROAD_CAMPAIGN_15_OPTION_B,Let the birds pass undisturbed. 
EVENT_ROAD_CAMPAIGN_15_RESULT_A,"You pull back your bow and take aim. The instant you loose the arrow, however, you notice something odd about the birds. They are much farther away than you realised, and much bigger. The arrow misses, but it gets their attention. As the flock turns and descends toward you, you realize you just shot at a group of drakes. You run for cover among the trees, but are hit by their acidic spit a number of times in the process.  "
EVENT_ROAD_CAMPAIGN_15_RESULT_B,"The shot would be difficult, and you'd prefer not to waste the arrow. You simply move on toward your destination.  "
EVENT_ROAD_CAMPAIGN_16_INTRO,"The route to your destination is less direct than you had hoped, and you end up taking a shortcut through a small forest. <br><br>There you happen upon a family of deer. They are still a ways off in the distance and haven't noticed you. <br><br>You approach cautiously. "
EVENT_ROAD_CAMPAIGN_16_OPTION_A,Shoot at one of the deer. 
EVENT_ROAD_CAMPAIGN_16_OPTION_B,Just watch the deer for a little bit. 
EVENT_ROAD_CAMPAIGN_16_RESULT_A,"You notch your bow and take a few steps forward to find a better shooting position. Unfortunately, the deer notice your presence and bound off. You shoot a few arrows as they go, but nothing connects. <br><br>Then an arrow flies out of the brush and into your shoulder. ""Foul city-dwellers!"" a voice cries out from the trees. ""I had been stalking that herd for hours and you spooked them!"" More arrows rain down as you run away. "
