Keys,"Солов'їна [ua-UA]"
EVENT_ROAD_CAMPAIGN_25_OPTION_A,"Спробувати мирно домовитися"
EVENT_ROAD_CAMPAIGN_25_OPTION_B,"Напасти на іноксів. Вони не отримають жодної монети!"
EVENT_ROAD_CAMPAIGN_25_RESULT_A_A,"Інокс із вашого загону деякий час перемовляється з ватажком зграї, і врешті-решт вони дійшли згоди. Вдаривши один одного в груди, вони розходяться, і зграя дозволяє вам пройти."
EVENT_ROAD_CAMPAIGN_25_RESULT_A_B,"Умовити іноксів на меншу суму не виходить, тож ви змушені віддати важкий мішечок золотих. Ватажок усміхається і дозволяє вам продовжити шлях."
EVENT_ROAD_CAMPAIGN_25_RESULT_B,"Ви вихоплюєте зброю і заявляєте, що сьогодні платити нікому не збираєтеся. Зграя іноксів з ревом кидається на вас. Втім, отримавши кілька серйозних поранень, вони кидаються врозтіч і ховаються на заході, залишаючи вас зализувати свої рани."
EVENT_ROAD_CAMPAIGN_26_INTRO,"На узбіччі дороги ви помічаєте самотній візок і обережно до нього наближаєтеся.<br><br>Тільки-но ви підходите ближче, як веселий подорожній у крислатому капелюсі махає вам рукою.<br><br>- Гей, там! Ви, бува, осі лагодити не вмієте? Їду я дорогою, вона начебто рівна, без вибоїн. а потім БАХ! - Чоловік плескає в долоні. - Розлетілася навпіл. Мені за два дні потрібно доставити весь цей товар на північ, і я толком не візьму, що мені з цією бідою робити."
EVENT_ROAD_CAMPAIGN_26_OPTION_A,"Спробувати допомогти подорожньому, полагодивши зламану вісь."
EVENT_ROAD_CAMPAIGN_26_OPTION_B,"Зв'язати подорожнього і забрати весь товар, про який він так дбає."
EVENT_ROAD_CAMPAIGN_26_RESULT_A_A,"Поки ви працюєте, подорожній не замовкає, але десь за годину-півтори вам вдається полагодити вісь, і він відбуває в чудовому настрої, розсипаючись у подяках."
EVENT_ROAD_CAMPAIGN_26_RESULT_A_B,"Ви з радістю погоджуєтеся допомогти, але швидко розумієте, що не знаєте, що робити. Подорожній все одно вам дякує, і ви вирушаєте далі."
EVENT_ROAD_CAMPAIGN_26_RESULT_B,"Ви широко посміхаєтеся і підходите до подорожнього. Він навіть не пручається. Перше, що ви робите, - затикаєте його, припиняючи нескінченну балаканину. Ви обираєте найлегше, що в нього є з цінностей, і забираєте з собою, залишивши чоловіка валятися зв'язаним на узбіччі. Мабуть, його день не був таким уже й поганим, поки він не зустрів вас"
EVENT_ROAD_CAMPAIGN_27_INTRO,"Ваш шлях лежить між невеликим гаєм і крутим урвищем, коли ви натикаєтеся на повалені дерева, що перекривають дорогу.<br><br>Вал дерев здається вам дивним, та й уся ситуація вельми підозріла. У вас недобре передчуття."
EVENT_ROAD_CAMPAIGN_27_OPTION_A,"Прибрати дерева з дороги. Це найкращий спосіб пройти, та й допоможе іншим мандрівникам."
EVENT_ROAD_CAMPAIGN_27_OPTION_B,"Витратити час, щоб обійти дерева."
EVENT_ROAD_CAMPAIGN_27_RESULT_A_A,"У дерев дуже густі крони, та й самі вони занадто великі, щоб прибрати їх звичайним способом, але за допомогою стихійної магії ви в одну мить перетворюєте їх на друзки і змітаєте зі шляху."
EVENT_ROAD_CAMPAIGN_27_RESULT_A_B,"Дерева тут явно не для засідки, але від цього прибирати їх не легше. Робота важка, тож до місця призначення ви добираєтеся вже без сил."
EVENT_ROAD_CAMPAIGN_27_RESULT_B,"Ви вирішуєте обійти дерева через гай, але це простіше сказати, ніж зробити. Зарості занадто густі, та до того ж усипані колючками."
EVENT_ROAD_CAMPAIGN_28_INTRO,"Йдучи стежкою, ви зустрічаєте суворого найманця, що сидить на галявині, Він привітно киває вам.<br><br>- Гей, друзі, -- каже він. Щось дивне чується в його голосі. - Не могли б ви поділитися зі мною зіллям витривалості? Я йду в бік Похмурої гавані, але вже пройшов такий довгий шлях, що сил практично не залишилося.<br><br>Він піднімається на ноги під акомпанемент брязкання піхов об обладунок і власного гучного кректання.<br><br>- Я за нього добре заплачу."
EVENT_ROAD_CAMPAIGN_28_OPTION_A,"Продати найманцеві зілля витривалості."
EVENT_ROAD_CAMPAIGN_28_OPTION_A_UNAVAILABLE,"Потрібно 1 Мале зілля витривалості."
EVENT_ROAD_CAMPAIGN_28_OPTION_B,"Ввічливо відмовити і швиденько втекти."
EVENT_ROAD_CAMPAIGN_28_RESULT_A,"Після вельми напружених торгів ви домовляєтеся про ціну. Не перестаючи триматися за рукоять меча, воїн бере мішечок золотих і простягає його вам. Ви віддаєте товар і спокійно продовжуєте шлях."
EVENT_ROAD_CAMPAIGN_28_RESULT_B,"Було щось відштовхуюче в цьому подорожньому. Ви раді, що вирішили не затримуватися, і намагаєтеся якомога швидше забратися з його поля зору."
EVENT_ROAD_CAMPAIGN_29_INTRO,"Подорожуючи передгір'ями, ви входите у вузьку долину і бачите, що купа каміння перегороджує вам шлях. Очевидно, лавина зійшла зовсім недавно.<br><br>Ви наближаєтеся до завалу і в розпачі дивитеся на розмір валунів. Тут легко розбереться тільки хтось наділений незвичайною силою і вміннями."
EVENT_ROAD_CAMPAIGN_29_OPTION_A,"Спробувати розчистити шлях"
EVENT_ROAD_CAMPAIGN_29_OPTION_B,"Повернутися назад і спробувати знайти шлях в обхід заваленої долини."
EVENT_ROAD_CAMPAIGN_29_RESULT_A_A,"Притаманне пустотілому поєднання грубої сили та вміння працювати з каменем просто ідеально підходить для цього завдання. Буквально за лічені хвилини він розкидає і розбиває достатньо каміння, щоб можна було пройти."
EVENT_ROAD_CAMPAIGN_29_RESULT_A_B,"Ситуація далека від ідеальної, але ви, стискаючи зуби, продовжуєте працювати. До часу, коли ви розчищаєте шлях, ви розумієте, що в труні бачили всі ці валуни."
EVENT_ROAD_CAMPAIGN_29_RESULT_B,"Ви приречено зітхаєте і розвертаєтеся. Повернувшись трохи назад, ви виявляєте інший шлях через передгір'я і прямуєте туди.<br><br>На жаль, він приводить вас просто у вовче лігво, де зовсім не раді подорожнім. Ви даєте хижакам відсіч, але вони встигають вас поранити"
EVENT_ROAD_CAMPAIGN_2_INTRO,"Дорогою ви починаєте відчувати, що зголодніли. Ви подумуєте зупинитися і перекусити і тут натикаєтеся на зарості кущів, обвішаних зеленими ягодами.<br><br>Ягоди здаються апетитними, але ви сумніваєтеся - а раптом вони отруйні?"
EVENT_ROAD_CAMPAIGN_2_OPTION_A,"Покуштувати ягід"
EVENT_ROAD_CAMPAIGN_2_OPTION_B,"Не чіпати ягоди і перекусити звичайною їжею із запасів"
EVENT_ROAD_CAMPAIGN_2_RESULT_A,"Потиснувши плечима, ви з жадібністю ковтаєте жменю ягід. У них виявляється шалено солодкий смак із невеликою благородною кислинкою - просто ідеальне поєднання. Ви ні краплі не шкодуєте про своє рішення."
EVENT_ROAD_CAMPAIGN_2_RESULT_B,"Вирішивши, що не хочете потім шкодувати про необачний вчинок, ви залишаєте ягоди в спокої і продовжуєте шлях."
EVENT_ROAD_CAMPAIGN_30_INTRO,"На горизонті ви помічаєте дим, і до вас доноситься важкий запах горілої плоті. Ви прискорюєте крок, щоб побачити, що за новина чекає попереду.<br><br>За кілька хвилин ви натикаєтеся на торговий караван, розгромлений зграєю вермлінгів, якщо вірити слідам на землі.<br><br>Навколо розкидані мертві тіла і розбиті, перевернуті вози, також ви помічаєте кілька тих, хто вижив. Вони лежать на землі. поранені та<br>закривавлені. На іншому боці дороги жінка, накульгуючи, тягне на собі вцілілі речі."
EVENT_ROAD_CAMPAIGN_30_OPTION_A,"Допомогти тим, хто вижив, розібратися після побоїща."
EVENT_ROAD_CAMPAIGN_30_OPTION_B,"Завершити те, що почали вермлінги, і розграбувати все, що залишилося."
EVENT_ROAD_CAMPAIGN_30_RESULT_A_A,"Варто було вам попрямувати на допомогу тим, хто вижив, як жінка на дорозі почала кричати, вказуючи на вермлінга у вашому загоні. Ви намагаєтеся її заспокоїти, але нічого не виходить. Ви кидаєте всі спроби і йдете геть"
EVENT_ROAD_CAMPAIGN_30_RESULT_A_B,"Ви розбрідаєтеся по місцю бійні, перев'язуючи рани і допомагаючи людям прийти до тями. Вам доводиться витратити частину запасів, за що ті, хто вижив, вам дуже вдячні."
EVENT_ROAD_CAMPAIGN_30_RESULT_B,"Ви без зусиль добиваєте тих, хто вижив, поклавши край їхнім стражданням. На жаль, вермлінги були на рідкість уважні під час набігу. Вам вдається знайти лише парочку цінностей, все інше вже розграбували до вас або спалили."
EVENT_ROAD_CAMPAIGN_31_INTRO,"Діставшись вершини пагорба, ви чуєте звуки бою і крики.<br><br>Пройшовши трохи далі, ви бачите, як торговий караван відбивається від зграї вермлінгів.<br><br>Помітно, що в охорони каравану справи кепські. Їх набагато менше, і вони змушені піти в глуху оборону, щоб захистити своїх наймачів. Найімовірніше, їх зметуть і вб'ють у найближчі кілька хвилин."
EVENT_ROAD_CAMPAIGN_31_OPTION_A,"Кинутися в битву і захистити караван від варварського нападу."
EVENT_ROAD_CAMPAIGN_31_OPTION_B,"Почекати осторонь, поки не випаде слушна нагода, щоб напасти."
EVENT_ROAD_CAMPAIGN_31_RESULT_A_A,"На щастя, дехто з вашого загону знає толк в обороні, тож баланс сил змінюється, варто їм взяти командування на себе. Вермлінги відступають. Караван врятовано"
EVENT_ROAD_CAMPAIGN_31_RESULT_A_B,"Ви намагаєтеся врятувати охорону, але самі опиняєтеся в такій самій ситуації. Вам вдається відбитися від вермлінгів, але до цього моменту вся охорона і торговці вже мертві"
EVENT_ROAD_CAMPAIGN_31_RESULT_B,"Ви вичікуєте, поки вермлінги не переб'ють усю охорону і не розслабляться після перемоги. Коли вони починають вивчати вміст возів, ви нападаєте із засідки. Заставши вермлінгів зненацька, ви з легкістю з ними розправляєтеся."
EVENT_ROAD_CAMPAIGN_32_INTRO,"На узбіччі дороги ви бачите пару валратів і віз, у який запряжена маленька конячка. Коли ви наближаєтеся, їхні руки інстинктивно тягнуться до зброї.<br>Ви жестом показуєте, що прийшли з миром, і помічаєте полегшення на їхніх обличчях.<br><br>- Можливо, добре, що ви проходили повз, подорожні, - каже один із них. - Наш кінь виснажений, та й ми самі трохи здоровіші. Ми відчайдушно потребуємо запасів, щоб дістатися до мети.<br><br>Один із валратів слабко посміхається:<br>- Не могли б ви нам допомогти?"
EVENT_ROAD_CAMPAIGN_32_OPTION_A,"Віддати валратам частину своїх запасів."
EVENT_ROAD_CAMPAIGN_32_OPTION_B,"Ха, ось ще! Ви витратили неабияк свого золота на ці запаси. Відмовитися допомагати."
EVENT_ROAD_CAMPAIGN_32_RESULT_A_A,"З посмішкою на обличчі інтендант виходить уперед і передає валратам мішок з їжею і спорядженням. У нього завжди є з собою запаси, і мандрівники вкрай вдячні йому за допомогу."
EVENT_ROAD_CAMPAIGN_32_RESULT_A_B,"Вам доведеться поповнити запаси наступного разу, коли опинитеся в місті, але ви вирішуєте, що світ на них клином не зійшовся і ви цілком можете поділитися. Валрати зітхають із полегшенням і сердечно дякують вам за допомогу."
EVENT_ROAD_CAMPAIGN_32_RESULT_B,"Ви уривчасто вибачаєтеся і продовжуєте шлях. Схоже, валрати розчаровані, але частково вас розуміють. Утім, це не заважає їм перешіптуватися за вашою спиною, поки ви йдете."
EVENT_ROAD_CAMPAIGN_33_INTRO,"Щось... не так.<br><br>Ви зупиняєтеся посеред дороги і відчуваєте, як по шкірі біжать мурашки. Ви не знаєте точно, що відбувається, але тут явно замішані якісь загадкові сили.<br><br>До вас вітром долинає ледь чутний шепіт, і вам здається, що ви ось-ось провалитеся під землю."
EVENT_ROAD_CAMPAIGN_33_OPTION_A,"Розвідати місцевість. Потрібно перевірити, які сили тут причаїлися."
EVENT_ROAD_CAMPAIGN_33_OPTION_B,"Втекти якомога швидше."
EVENT_ROAD_CAMPAIGN_33_RESULT_A_A,"Естер із вашого загону відводить до місця на узбіччі, де все здається... якимось розмитим. Вам доводиться напружувати зір, щоб розрізняти об'єкти, наче місцевість перед вами тільки наполовину тут. Естер вимовляє якісь слова, і ефект розмитості зникає"
EVENT_ROAD_CAMPAIGN_33_RESULT_A_B,"Ви деякий час блукаєте по окрузі, поки раптово перед вами не з'являється величезний демон, вирваний з іншого виміру. Щоправда, ваша присутність дивує його не менше, тож вам вдається впоратися з ним, перш ніж він завдає серйозної шкоди."
EVENT_ROAD_CAMPAIGN_33_RESULT_B,"Ви щодуху кидаєтеся вперед, бажаючи скоріше повернутися до наміченого маршруту.<br>Вам здається, що найгірше вже позаду, коли на вас зі спини нападає гігантський демон. Вам вдається відбитися, але він встигає вас добряче пошарпати й обпалити."
EVENT_ROAD_CAMPAIGN_34_INTRO,"Вам доводиться заночувати в дорозі, тож ви розбиваєте табір і розводите вогонь.<br><br>Складно заснути, коли навколо небезпека, - постійно доводиться бути напоготові, виглядаючи чергову смертельну загрозу. На щастя, ця нічка виявляється досить нудною.<br>Принаймні, доти, доки ви не чуєте голоси, що наближаються до вашого табору.<br><br>Звук тихий і низький, дуже схожий на гарчання і на якусь примітивну мову."
EVENT_ROAD_CAMPAIGN_34_OPTION_A,"Швидко загасити багаття і зачаїтися в кущах."
EVENT_ROAD_CAMPAIGN_34_OPTION_B,"Дочекатися біля багаття непроханих гостей."
EVENT_ROAD_CAMPAIGN_34_RESULT_A_A,"Вашої навички скритності цілком достатньо, щоб залишитися непоміченими для великого загону іноксів. Ви вирішуєте не показуватися їм на очі і дати пройти повз."
EVENT_ROAD_CAMPAIGN_34_RESULT_A_B,"Ви намагаєтеся зачаїтися, але гілка, що хруснула під ногами, видає вас іноксам, які проходять повз. Починається справжня бійня, і вам насилу вдається відбитися."
EVENT_ROAD_CAMPAIGN_34_RESULT_B_A,"Загін іноксів з'являється на кордоні вашого табору. Бачачи, що серед вас є їхні родичі, вони дружньо вас вітають і зупиняються перекинутися парою слів. Після того як вони йдуть, залишок ночі проходить без пригод."
EVENT_ROAD_CAMPAIGN_34_RESULT_B_B,"На кордоні вашого табору з'являється загін розгніваних іноксів. Вони заявляють, що ви вторглися на їхню територію, і вимагають, щоб ви зібрали речі і негайно забралися геть. Частину ночі, що залишилася, ви проводите в дорозі і прибуваєте до місця призначення неабияк виснаженими."
EVENT_ROAD_CAMPAIGN_35_INTRO,"Ви насолоджуєтеся приємною прогулянкою, як раптом вас оточує група незнайомців. Один із них виходить уперед, його обличчя спотворене віспинами.<br><br>- Доброго вам дня. - Він трохи посміхається. - Не хотілося б вас обтяжувати, але, бачте, мій табір вразила дивна недуга, і ми хочемо ввічливо попросити у вас грошей на ліки.<br><br>Ви озираєтеся і розумієте, що багато хто з них дійсно став жертвою якоїсь спотворювальної хвороби.<br>Незнайомець однією рукою чухає щоку, а іншою повільно витягує з піхов свій меч.<br><br>- Боюся, нас не влаштує негативна відповідь."
EVENT_ROAD_CAMPAIGN_35_OPTION_A,"Битися з ними. Мотив не важливий - грабіж є грабіж."
EVENT_ROAD_CAMPAIGN_35_OPTION_B,"Заплатити незнайомцям і отруїтися своєю дорогою."
EVENT_ROAD_CAMPAIGN_35_RESULT_A_A,"Моровісник витягує руки, і незнайомці навколо нього складаються від посиленого болю. Ви майже відчуваєте, як він усміхається, навіть незважаючи на те, що в нього немає обличчя. Бій не триває довго, особливо після того, як рани супротивників починають покриватися личинками."
EVENT_ROAD_CAMPAIGN_35_RESULT_A_B,"Незнайомці виснажені, але вони готові битися на смерть. Ви відбиваєтеся від них, але не без наслідків"
EVENT_ROAD_CAMPAIGN_35_RESULT_B_A,"Ви посміхаєтеся настільки миролюбно, наскільки це можливо, і тягнетеся до гаманця із золотом. Ви збираєтеся кинути їм кілька монет, але наполегливий подорожній змушує вас віддати більше. Зрештою незнайомці залишаються задоволені і вирушають далі своєю дорогою"
EVENT_ROAD_CAMPAIGN_35_RESULT_B_B,"Ви намагаєтеся відкупитися парою монет, але незнайомець вирішує, що ви щось від нього приховуєте, і лютує."
EVENT_ROAD_CAMPAIGN_36_INTRO,"Вдалині ви бачите, як дорога, якою ви йдете, звертає в темний і непривітний ліс.<br>Від цього видовища у вас погане передчуття.<br><br>З кожним кроком ви відчуваєте, як по шкірі пробігають мурашки, і ви зупиняєтеся. Здається, у цей ліс краще не потикатися."
EVENT_ROAD_CAMPAIGN_36_OPTION_A,"Продовжити шлях до лісу цією дорогою. Вас таким не налякати."
EVENT_ROAD_CAMPAIGN_36_OPTION_B,"Знайти інший шлях до потрібного місця."
EVENT_ROAD_CAMPAIGN_36_RESULT_A_A,"Ліс просто величезний і сповнений всіляких комах, але вам вдається слідувати стежкою, нехай і насилу. І ось у глибині хащі ви натикаєтеся на кам'яний п'єдестал, в основі якого надряпано:"
EVENT_ROAD_CAMPAIGN_36_RESULT_A_B,"Ви прямуєте крізь ліс і врешті-решт втрачаєте стежку. Шлях виявляється важким і виснажливим."
EVENT_ROAD_CAMPAIGN_36_RESULT_B,"Ліс величезний, і у вас іде трохи більше часу, ніж вам би хотілося, щоб обійти його стороною. Але, доклавши зусиль, ви все ж добираєтеся до місця призначення, нехай і втомившись трохи більше, ніж хотілося б."
EVENT_ROAD_CAMPAIGN_37_INTRO,"Звичайна мряка швидко перетворюється на зливу. Струмені води б'ють по обличчю, а блискавки пронизують небеса.<br><br>Ви помічаєте невелику скелю, що стирчить із землі, і кидаєтеся під неї. Грім стрясає землю.<br>Це укриття врятує вас від негоди, що розгулялася, але ви не знаєте, скільки триватиме буря."
EVENT_ROAD_CAMPAIGN_37_OPTION_A,"Взяти себе в руки і продовжити шлях, незважаючи на бурю. Все не так уже й погано."
EVENT_ROAD_CAMPAIGN_37_OPTION_B,"Дочекатися під скелею кінця бурі."
EVENT_ROAD_CAMPAIGN_37_RESULT_A_A,"У міру того як ви пробираєтеся крізь бруд і дощ, ваш настрій стає дедалі гіршим, але тут, перекриваючи грім, лунає голос Оспівувачки. Вона бадьоро співає пісні посеред бурі, і на душі стає світліше"
EVENT_ROAD_CAMPAIGN_37_RESULT_A_B,"Дорога під зливою просто жахлива. Ви промокли, замерзли, втомилися і чекаєте не дочекаєтеся, коли все закінчиться. Добравшись до місця призначення, ви почуваєтеся просто огидно."
EVENT_ROAD_CAMPAIGN_37_RESULT_B,"Місце, звісно, не ідеальне, але скеля захищає вас від води та пронизливого вітру. Згрудившись в укритті, ви чекаєте багато годин, поки буря нарешті не вщухає. На той час, коли ви прибуваєте до місця призначення, ви остаточно виснажені через недосип."
EVENT_ROAD_CAMPAIGN_38_INTRO,"Щось дрібне привертає вашу увагу: на землі, блискучи на сонці, валяється ґудзик у формі дубового листа.<br><br>Ви зупиняєтеся, щоб роздивитися його краще, і помічаєте краплі крові в багнюці та сліди від кількох тіл, яких забрали до лісу.<br><br>Ви піднімаєтеся і вдивляєтеся в підлісок. В очі впадають кілька зламаних гілок і розчавлені рослини. Можливо, вам вдасться пройти по сліду і знайти тіла."
EVENT_ROAD_CAMPAIGN_38_OPTION_A,"Попрямувати в ліс, щоб з'ясувати, що сталося."
EVENT_ROAD_CAMPAIGN_38_OPTION_B,"Продовжити свій шлях. Ліс виглядає не особливо привітно."
EVENT_ROAD_CAMPAIGN_38_RESULT_A_A,"Вам з легкістю вдається пройти по сліду, і ви знаходите двох жерців. Вони обидва в крові й непритомні, але живі. Ви приводите їх до тями і проводжаєте до дороги. Жерці вам дуже вдячні."
EVENT_ROAD_CAMPAIGN_38_RESULT_A_B,"Ви намагаєтеся йти по сліду і губитеся серед дерев. Доводиться витратити кілька годин, щоб знайти зворотну дорогу."
EVENT_ROAD_CAMPAIGN_38_RESULT_B,"Що б тут не сталося, нічим хорошим це не скінчилося. Як би там не було, вас це точно не стосується, і тим паче не варто вирушати в густий ліс непідготовленими. Ви вирішуєте, що краще піти своєю дорогою"
EVENT_ROAD_CAMPAIGN_39_INTRO,"Ви помічаєте рух у високій траві ліворуч від вас і чуєте слабкий голос:<br><br>- Допоможіть... мені... будь ласка...<br><br>Наблизившись, ви бачите валрата, який звивається на землі. Його шкіра вкрита пухирями і гнійними наривами.<br><br>- Хвороба спалює мене, - стогне він - Будь ласка, допоможіть..."
EVENT_ROAD_CAMPAIGN_39_OPTION_A,"Допомогти бідному валрату."
EVENT_ROAD_CAMPAIGN_39_OPTION_B,"Очевидно, що це якась чума. Певно варто якнайшвидше покинути це місце."
EVENT_ROAD_CAMPAIGN_39_RESULT_A_A,"Костоправ чудово знає, що потрібно робити. Одягнувши рукавички і захисну маску, він вичищає рани. Через годину валрат виявляється здатним продовжити шлях."
EVENT_ROAD_CAMPAIGN_39_RESULT_A_B,"Ви намагаєтеся допомогти валрату як можете, на що у вас йде кілька зілля і чимала частина припасів. До того моменту, коли йому стає краще, ви розумієте, що самі починаєте почуватися погано."
EVENT_ROAD_CAMPAIGN_39_RESULT_B,"Ви з жахом відсахтуєтеся і швидко йдете геть. Якийсь час ви ще чуєте плач валрата, але з цим нічого не поробиш: від чуми потрібно триматися подалі."
EVENT_ROAD_CAMPAIGN_3_INTRO,"Дорогою ви починаєте відчувати, що зголодніли. Ви подумуєте зупинитися і перекусити і тут натикаєтеся на зарості кущів, обвішаних червоними ягодами.<br><br>Ягоди здаються апетитними, але ви сумніваєтеся - а раптом вони отруйні?"
EVENT_ROAD_CAMPAIGN_3_OPTION_A,"Покуштувати ягід"
EVENT_ROAD_CAMPAIGN_3_OPTION_B,"Не чіпати ягоди і перекусити звичайною їжею із запасів"
EVENT_ROAD_CAMPAIGN_3_RESULT_A,"Потиснувши плечима, ви з жадібністю ковтаєте жменю ягід. У них виявляється шалено солодкий смак із невеликою благородною кислинкою - просто ідеальне поєднання. Ви ні краплі не шкодуєте про своє рішення... поки вас не починає страшенно нудити. Ваш шлунок категорично незадоволений вашим рішенням, і, навіть коли ви прибуваєте на місце, відчутно краще вам не стає."
EVENT_ROAD_CAMPAIGN_3_RESULT_B,"Вирішивши, що не хочете потім шкодувати про необачний вчинок, ви залишаєте ягоди в спокої і продовжуєте шлях."
EVENT_ROAD_CAMPAIGN_40_INTRO,"Вночі пройшла сильна злива, але ви навіть не уявляли всіх її наслідків, поки не натрапили на річку, яка вирувала рівно посередині дороги.<br>Річка більше метра в глибину, та ще й зі швидкою течією. Турбує вас й інше: щоб знайти брід, доведеться витратити чимало часу."
EVENT_ROAD_CAMPAIGN_40_OPTION_A,"Перейти річку тут же. Місце, звісно, не ідеальне, але має вийти."
EVENT_ROAD_CAMPAIGN_40_OPTION_B,"Вирушити вниз по річці в пошуках кращої переправи."
EVENT_ROAD_CAMPAIGN_40_RESULT_A_A,"Перейти через річку за допомогою стихій виявляється надзвичайно просто. Крокуючи через крижаний міст на інший бік, ви продовжуєте шлях."
EVENT_ROAD_CAMPAIGN_40_RESULT_A_B,"Вода напрочуд холодна, але цим вас не налякати. Наскрізь промоклі і змерзлі до кісток, ви все-таки добираєтеся до мети"
EVENT_ROAD_CAMPAIGN_40_RESULT_B,"Через годину ви знаходите кам'янисту область, де річка розпадається на безліч дрібних потоків. Перебратися тепер не складає труднощів, щоправда, пошук цього місця, а потім ще й шлях назад до дороги вас добряче вимотують."
EVENT_ROAD_CAMPAIGN_41_INTRO,"Пробираючись через невеликий лісок, ви раптом помічаєте величезного ведмедя, що мчить крізь дерева прямо на вас.<br><br>Можливо, ви підібралися надто близько до його барлогу, але тут уже не скажеш напевно.<br>Ви впевнені лише в одному: ведмідь розлючений, і у вас дуже мало часу, щоб щось зробити."
EVENT_ROAD_CAMPAIGN_41_OPTION_A,"Спробувати заспокоїти ведмедя і повільно відступити."
EVENT_ROAD_CAMPAIGN_41_OPTION_B,"Дістати зброю і дати ведмедю відсіч."
EVENT_ROAD_CAMPAIGN_41_RESULT_A_A,"Володар Звірів виходить уперед, простягаючи руку і видаючи тихий гудячий звук. Ведмідь зі спантеличеним виглядом зупиняється посеред ривка. Ви залишаєте тварину в спокої і неушкодженими продовжуєте шлях."
EVENT_ROAD_CAMPAIGN_41_RESULT_A_B,"Через кілька миттєвостей ви розумієте, що це була погана ідея. Ведмідь серйозно вас ранить, перш ніж ви встигаєте дістати зброю і захиститися."
EVENT_ROAD_CAMPAIGN_41_RESULT_B,"Поки ведмідь до вас мчить, ви вихоплюєте зброю. Бій не з легких, але могло бути й гірше."
EVENT_ROAD_CAMPAIGN_42_INTRO,"Повз вас проходить торговий караван. Подібне відбувається досить часто, але дещо приковує ваш погляд: серед охорони каравану ви помічаєте знайомого інокса.<br><br>Побачивши вас, дикун усміхається, махає рукою і кидається назустріч, щоб привітати.<br>Він шалено радий вас бачити і негайно пускається у спогади всіх тих приголомшливих битв, у яких вам довелося бути разом.<br><br>Ляснувши вас по спині, він просить вас ненадовго приєднатися до каравану, щоб трохи надолужити згаяне."
EVENT_ROAD_CAMPAIGN_42_OPTION_A,"Погодитися трохи помандрувати разом із дикуном. Яка різниця, що вам потрібно зовсім в інший бік?"
EVENT_ROAD_CAMPAIGN_42_OPTION_B,"З жалем покинути дикуна і продовжити свій шлях."
EVENT_ROAD_CAMPAIGN_42_RESULT_A,"Крокуючи разом із дикуном, ви згадуєте про ваші перші дні в пошуках пригод, і тут помічаєте печаль, що ховається за його ентузіазмом. Він розповідає про те, як нелегко жилося йому після того, як він покинув загін, і як йому доводиться братися за подібну роботу, щоб просто звести кінці з кінцями. Після розмови дикуну, схоже, трохи полегшало, але день уже хилиться до заходу. На той час, коли ви, попрямувавши назад, прибуваєте до місця призначення, ви вже остаточно виснажені"
EVENT_ROAD_CAMPAIGN_42_RESULT_B,"Ви пояснюєте дикуну, що на вас чекає важкий день і ви просто не можете витрачати час на подорож в інший бік. Прощаючись, ви помічаєте, що він похмурішає буквально на очах. Дикун на самоті повертається до каравану."
EVENT_ROAD_CAMPAIGN_43_INTRO,"У звичайній ситуації ви, напевно, не звернули б уваги, але часом поклик природи перебиває все і потрібно терміново усамітнитися, звернувши з второваного шляху.<br><br>Зайшовши в кущі, ви виявляєте останки якоїсь примітивної машини. Схоже, що в якийсь момент вона зламалася і її кинули тут доживати свій вік.<br><br>Загалом, це сміття, але завдяки часу, проведеному з винахідником, око на хороші енергетичні ядра у вас наметено.<br>Воно трохи важче, ніж ви сподівалися, але в Похмурій гавані за нього непогано заплатять."
EVENT_ROAD_CAMPAIGN_43_OPTION_A,"Забрати ядро із собою."
EVENT_ROAD_CAMPAIGN_43_OPTION_B,"Не чіпати ядро. Не варто тягати тяжкості перед боєм."
EVENT_ROAD_CAMPAIGN_43_RESULT_A,"Ядро справді важке. Ви його непогано закріпили, але в бою такий вантаж усе ж таки заважатиме. Ви сподіваєтеся, що воно того варте."
EVENT_ROAD_CAMPAIGN_43_RESULT_B,"Ви вирішуєте, що ризик того не вартий, і йдете геть, доки не поранилися об іржавий метал і не зловили якусь заразу. Та й думка про те, що довелося б провести багато часу в Пістрому кварталі, торгуючись із куатрилами в спробі вибити гідну ціну, наганяє на вас тугу й зневіру."
EVENT_ROAD_CAMPAIGN_44_INTRO,"Ви надто пізно вийшли, тож ніч вступає у свої права ще до того, як ви дістаєтеся до мети.<br>І хоча на ніч ви виставляєте вартового, ви все одно виявляєтеся не готовими до нападу нічних демонів.<br><br>Вони безшумні й невидимі, і, поки їхні кігті не впилися у вашу плоть, ви навіть не підозрювали, що вони поруч.<br><br>Темрява перетворюється на хаос, супроводжуваний відблисками мечів і жахливими криками.<br>А потім вогняна стріла пронизує темряву і спопеляє одного з демонів.<br><br>Там є хтось іще."
EVENT_ROAD_CAMPAIGN_44_OPTION_A,"З натхненням кинутися винищувати демонів."
EVENT_ROAD_CAMPAIGN_44_OPTION_B,"Скористатися появою невідомої третьої сторони і втекти."
