Keys,"Солов'їна [ua-UA]"
EVENT_ROAD_JOTL_08_RESULT_A,"Ви пірнаєте крізь густі клуби диму в крижану воду. Кінцівки Куатрила заплуталися в уламках його крил, але вам удається витягти його й повільно поплисти до берега.<br><br>Його очі широко розплющуються, коли він усвідомлює, хто його врятував. «Це ви? Ого, я ваш палкий шанувальник!» І, хоча важко сказати напевно, чи це від удару, чи від зустрічі з вами, він втрачає свідомість. Хай там як, сьогодні ви врятували життя."
EVENT_ROAD_JOTL_08_RESULT_B,"Поки уламки горять у річці, безлике тіло винахідника виносить на берег. Стурбований натовп мовчки спостерігає, боячись найгіршого.<br><br>Раптом очі Куатрила розплющуються. «ВОНО СПРАЦЮВАЛО!» — вигукує він. Він сідає й починає колупатися в деталях механізму, все ще пристебнутих до його грудей. «Я точно знаю, як це виправити. Ще кілька налаштувань, і я злечу над Мідногривими!»"
EVENT_ROAD_JOTL_09_INTRO,"Ваш загін блукає Тонучим Ринком, коли ви натрапляєте на метушню біля одного з магазинів. На землі лежить мертвий Вермлінг, убитий ударом по голові.<br><br>Підозрюваний Валрат каже: «Це зробив Орхід!»<br><br><size=50%> <br><br><size=100%>Підозрюваний Вермлінг каже: «Валрат говорить правду!»<br><br><size=50%> <br><br><size=100%>Підозрюваний Інокс каже: «Якщо Валрат бреше, то й Вермлінг бреше».<br><br><size=50%> <br><br><size=100%>Підозрюваний Орхід каже: «Це був не Вермлінг!»<br><br>Пара охоронців чухає потилиці, коли неподалік відкривається портал і з нього виходить Естер у незвичному капелюсі. Він дивиться повз вас і каже: «Тільки один із них говорить правду». Перш ніж ви встигаєте розпитати його далі, він зникає."
EVENT_ROAD_JOTL_09_OPTION_A,"Убивця — Валрат."
EVENT_ROAD_JOTL_09_OPTION_B,"Убивця — Вермлінг."
EVENT_ROAD_JOTL_09_OPTION_C,"Убивця — Інокс."
EVENT_ROAD_JOTL_09_OPTION_D,"Убивця — Орхід."
EVENT_ROAD_JOTL_09_RESULT_A,"Розмірковуючи про це пізніше, ви розумієте: якби Валрат говорив правду, то й Вермлінг теж говорив би правду. Оскільки правду міг говорити лише один, вони обоє мали брехати. Тоді Інокс мав говорити правду, а отже, Орхід брехав, стверджуючи, що це був не Вермлінг.<br><br>Озираючись назад, здається, що ви зробили неправильний вибір, і вбивця залишився на волі."
EVENT_ROAD_JOTL_09_RESULT_B,"Охоронці забирають злочинця — Вермлінга, який убив свого брата заради грошей зі страховки. Ви також не забуваєте замовити словечко про брехливих Валрата та Орхіда. Інокс отримує від охоронців лише грубе «дякую» за своє проникливе зауваження, але вони з радістю передають вам грошову винагороду."
EVENT_ROAD_JOTL_10_INTRO,"«Відьма! — голосно й невиразно бурмоче інокс-портовик у кутку «Сплячого Лева». — Вона вилізла з каналізації й перетворила бригадира на... *ік*... на рибу!» Ви повертаєтеся до свого кухля, але чоловік продовжує кричати: «Я віддам триденну платню кожному, хто вб'є її!» Раптом його бурмотіння починає вас цікавити.<br><br>Ви йдете за вказівками п'яниці, які, як і очікувалося, безнадійно збивають вас зі шляху в мережі каналізаційних колекторів під Похмурою Гаванню. Ви вже думаєте просто прокопати тунель до поверхні, коли чуєте шурхіт позаду. Ви оголюєте зброю й повертаєтеся, готові до бою.<br><br>Перед вами немічно стоїть стара Валратка, згорблена та висохла від старості. На шиї в неї висить мотузка із сушеною рибою. Вона ігнорує вашу зброю й мовчки вказує кістлявим пальцем повз вас, на прохід неподалік."
EVENT_ROAD_JOTL_10_OPTION_A,"Убити її та забрати нагороду."
EVENT_ROAD_JOTL_10_OPTION_B,"Вона просто стара відшельниця в каналізації. Дати їй спокій і піти туди, куди вона вказала."
EVENT_ROAD_JOTL_10_RESULT_A,"Іноді портовики розповідають байки. Але це не той випадок. Перш ніж ви встигаєте навіть підняти зброю, відьма накидається на вас, як демон, дряпаючись і кусаючись. Після довгої битви ви перемагаєте й шкутильгаєте назад до таверни. Інокс п'яніший, ніж коли ви його залишили, але він виплачує нагороду — про яку ви нагадуєте йому, що це була чотириденна платня. Поки ви заліковуєте свої рани за кухлем пива, ви думаєте про те, як шкода, що праця портовиків так погано оплачується."
EVENT_ROAD_JOTL_10_RESULT_B,"Ви махаєте їй рукою на прощання й рушаєте проходом, але стара йде слідом. Вона вказувала не на ваш вихід, а натомість вела вас до маленької халупи, де над кволим багаттям вирує казанок. Валратка наливає кожному з вас по чашці найсмачнішої рибної юшки, яку ви коли-небудь куштували, і після приємного мовчазного частування ви йдете, почуваючись набагато бадьорішими. Вам цікаво, чому портовик висунув такі лихі звинувачення проти цієї бідної каналізаційної відшельниці."
EVENT_ROAD_JOTL_11_INTRO,"«Випробуйте свою силу! Чи сильніші ви за Інокса?»<br><br>Чоловік викрикує виклики перехожим на розі вулиці біля автомата для випробування сили. Дерев'яний молот лежить напоготові для кожного, хто має сміливість ударити по основі пристрою та спробувати подзвонити у дзвоник нагорі.<br><br>«Фантастичні призи для найсильніших, нищівна поразка для найслабших! Усього п'ять золотих за удар!»"
EVENT_ROAD_JOTL_11_OPTION_A,"Зробити удар."
EVENT_ROAD_JOTL_11_OPTION_B,"Хіба цей Орхід не знає, хто ви такі? Вам не потрібно нікому нічого доводити — та й ці ігри все одно тільки для дітей."
EVENT_ROAD_JOTL_11_ROLLRESULT,"{0} змахує молотом і набирає {1}/{2}"
EVENT_ROAD_JOTL_11_RESULT_A,"Слабак! Не покалічся."
EVENT_ROAD_JOTL_11_RESULT_B,"Непогано! Гарний замах."
EVENT_ROAD_JOTL_11_RESULT_C,"ДЗЕНЬ! «Неймовірно! Ви сильніші за Інокса!»"
EVENT_ROAD_JOTL_11_RESULT_D,"Ви йдете геть, заспокоюючи себе тим, що й так знаєте, наскільки ви сильні. А дітлахи, які дражнять вас з узбіччя, навіть не ранять ваших почуттів."
EVENT_ROAD_JOTL_11_NEXT,"Передати молот"
EVENT_ROAD_JOTL_11_END,"Ви зробили все, що могли, але думаєте, чи не було це випробування підлаштованим проти вас."
EVENT_ROAD_JOTL_12_INTRO,"Ви йдете Монетним округом, коли з вікна неподалік вистрибує жінка в зеленому з товстими окулярами й збиває вас із ніг. Монети та дорогі дрібнички розлітаються навколо, висипаючись із кишень грабіжниці. Вона обтрушується й помічає двох охоронців, які зазирають у провулок, приваблені галасом.<br><br>«Ха-ха-ха! Оце було круто!» — вона награно сміється й плескає вас по спині, розігруючи виставу для охоронців. Вона здригається, коли хтось із вікна верещить: «Злодійка!»<br><br>Охоронці біжать до вас, а жінка бурмоче: «Слухайте мене, і ми всі викрутимося. Інакше нас усіх відправлять у Примарну Фортецю, зрозуміло?»"
EVENT_ROAD_JOTL_12_OPTION_A,"Здати її охоронцям."
EVENT_ROAD_JOTL_12_OPTION_B,"Дозволити злодійці пустити в хід свої чари."
EVENT_ROAD_JOTL_12_RESULT_A,"Ви вказуєте на злодійку й відкриваєте рота, але вона випереджає вас: «Це вони! Вони вистрибнули з того вікна й ледь не затоптали мене до смерті!» Вона стискає вкрадені перли на шиї. «Охоронці, будь ласка, заарештуйте їх!»<br><br>Охоронці ігнорують ваші спантеличені протести й одягають на вас залізні кайдани. До того моменту, коли вони повертаються, щоб продовжити допит свого свідка, вона вже зникла. Навіть після цього доводиться дати щедрий хабар, перш ніж вас відпустять."
EVENT_ROAD_JOTL_12_RESULT_B,"«Вони побігли туди!» — жінка в зеленому притуляється до стіни будівлі, коли наближаються охоронці, й показує вглиб темного провулка. «Будь ласка, зробіть щось. Здається, вони когось убили!»<br><br>Охоронці перезираються й кидаються в тінь. «Бачите? Це було не так уж і важко, правда? — підколює злодійка, нахиляючись, щоб підняти цінну річ, що впала. — Ось, за клопіт. А тепер вам краще забратися звідси, поки вони не повернулися»."
EVENT_ROAD_JOTL_13_INTRO,"Ви заходите в «Сплячий Лев» і бачите свого старого знайомого Ксейна, який сидить біля стійки бармена. Бармен щосили намагається його не помічати. Обличчя Ксейна світлішає, коли ви входите.<br><br>«Друзі! Мої єдині справжні соратники! — вигукує Ксейн. — Я так розумію, ви тут, щоб сплатити мені комісію за управління?»<br><br>Ви здивовано дивитеся на нього. Він починає говорити повільніше. «Мою комісію? За керування репутацією вашої Гільдії. Я знаю, ви думаєте, що ваші вчинки впливають лише на те, що люди про вас думають, але це я за лаштунками поширюю про вас хороші чутки! Чорт, це ж я взагалі запропонував вашу назву! Брендинг, розумієте? Це точно чогось варте»."
EVENT_ROAD_JOTL_13_OPTION_A,"Заплатити Ксейну за просування вашої репутації в місті."
EVENT_ROAD_JOTL_13_OPTION_B,"Відмовитися платити Ксейну. Ви самі можете відстежувати свою репутацію, і звідки він взагалі взяв, що він такий важливий?"
EVENT_ROAD_JOTL_13_RESULT_A,"Ксейн запевняє, що ваша репутація бездоганна. «Я досить добре розрекламував вас у місті, тож крамниці можуть погодитися на невелику знижку, аби тільки вас бачили біля їхніх прилавків»."
EVENT_ROAD_JOTL_13_RESULT_B,"Ксейн хитає головою. «Ого, чиясь репутація зараз серйозно постраждає. Я це занотую».<br><br>Він ставить галочку у своєму журналі, а потім, ідучи геть, бурмоче ще дещо: «Це матиме для вас реальні наслідки»."
EVENT_ROAD_JOTL_14_INTRO,"Біля святилища Великого Дуба стоїть чоловік із потужним голосом. Одягнений у біле вбрання, він кричить зібраному натовпу:<br><br>Час платити десятину Великому Дубу! Пожертвуйте на збереження його величності, і він благословить вас небаченим процвітанням!» Він пускає по колу в натовпі грубо витесану дерев'яну миску."
EVENT_ROAD_JOTL_14_OPTION_A,"Зробити пожертву святилищу Великого Дуба."
EVENT_ROAD_JOTL_14_OPTION_B,"Жертвує й так багато людей. У святилища буде хороший тиждень навіть без вашого внеску."
EVENT_ROAD_JOTL_14_RESULT_A,"Ви проштовхуєтеся вперед, прагнучи подати приклад решті натовпу. Хранитель Дуба схвально дивиться на вас, а багато інших ідуть за вашим прикладом."
EVENT_ROAD_JOTL_14_RESULT_B,"Хранитель Дуба бачить, як ви намагаєтеся непомітно вислизнути в натовп. Він виглядає розчарованим і щось бурмоче собі під ніс."
EVENT_ROAD_JOTL_15_INTRO,"Ви заходите в «Сплячий Лев» і бачите біля стійки Ксейна, місцевого пияка, якому вічно чомусь не щастить. Бармен щойно відмовився наливати йому, поки той не погасить свій борг, але Ксейн оживає, коли бачить, як ви підходите.<br><br>«О, чудово, це ви! Здається, зараз саме час отримати ту випивку, яку ви мені винні. Що скажете?»<br><br>Ви не пам'ятаєте, щоб були винні йому випивку. Насправді, ви цілком впевнені, що це він мав пригостити вас наступного разу, після того як ви допомогли вигнати біса з його саду."
EVENT_ROAD_JOTL_15_OPTION_A,"Це всього один келих, не варто добивати людину, коли їй і так зле. Купити йому випивку."
EVENT_ROAD_JOTL_15_OPTION_B,"Нагадати Ксейну, як усе було насправді."
EVENT_ROAD_JOTL_15_RESULT_A,"Ви дістаєте кілька монет, щоб пригостити Ксейна, і бачите полегшення на його обличчі. Після кількох келихів ви вже так добре проводите час, що ця дрібниця більше не має значення. Адже справжня цінність пригод — це друзі, яких ми знаходимо на своєму шляху."
EVENT_ROAD_JOTL_15_RESULT_B,"Ви перелічуєте причини, чому ви не винні Ксейну випивку: той випадок, коли ви віддирали його від міських стін, коли ви доставили його ящик із гадюками на корабельні верфі, коли він випадково затиснув демона в пряжці свого пояса, коли ви розбороняли його бійку з каменем, який він прийняв за Савваса, коли вам довелося відучувати його від зілля витривалості, а потім від великого зілля витривалості, і коли ви прибирали з його кухні «вулик женців», який виявився мурахами з кинутого пирога. Ви зітхаєте, а потім усе одно купуєте йому випивку."
EVENT_ROAD_JOTL_16_INTRO,"До «Сплячого Лева» заходить Інокс у коричневому хутряному плащі в супроводі двох тілоохоронниць-Валраток. Усі повертають голови, коли він підходить до вашого столу й сідає навпроти вашого загону. Охоронниці стають за кілька футів від нього, оглядаючи інших відвідувачів.<br><br>«Можете називати мене Раджек. Радий знайомству». Його рука, густо прикрашена кістяними перснями, колупає дерев'яну стільницю. «До міста прибуває мій важливий караван. Коли він приїде, мені знадобиться ваша допомога, щоб доставити вантаж на мій склад... Мені потрібні послуги найкращих. Це ж ви, чи не так?» Оскал оголює ряди гострих зубів.<br><br>Щось у цій розмові викликає у вас неприязнь. Що ви можете запропонувати такого, чого не змогли б ці броньовані Валратки?"

EVENT_ROAD_JOTL_16_OPTION_A,"Погодитися допомогти розвантажити караван."
EVENT_ROAD_JOTL_16_OPTION_B,"Відмовити чоловікові. Щось тут не так."
EVENT_ROAD_JOTL_16_RESULT_A,"Ви прибуваєте до Західної Брами, але каравану ніде немає. Раджек сердито кричить на своїх охоронців — схоже, вантаж викрали дорогою. Ви все одно запитуєте про оплату.<br><br>«Я не збираюся платити вам ні за що!» Ви наполягаєте на своєму, оскільки ви виконали свою частину угоди. Зрештою він кидає вам кілька монет, але дає зрозуміти, що ви більше не будете працювати разом. Це почуття взаємне."
EVENT_ROAD_JOTL_16_RESULT_B,"Він не дуже добре сприймає відмову — схоже, з такою відповіддю він стикається нечасто. Він підводиться з-за столу з риком: «Ви думаєте, що ви єдині найманці в цьому місті? Я знайду інших ідіотів, які виконають мою волю»."
EVENT_ROAD_JOTL_17_INTRO,"Ви спокійно займаєтеся своїми справами в «Сплячому Леві», коли до вашого столу підбігає сувора на вигляд капітанка-Інокска.<br><br>«Мені сказали, що ви саме ті, до кого варто звертатися, якщо виникли проблеми, — каже вона. — З мого корабля в Старих Доках зникла частина товарів. Я вистежила злодіїв до покинутого складу, але маю підстави вважати, що їх там більше, ніж я зможу здолати самотужки».<br><br>Ви ще раз дивитеся знизу вгору на величезну Інокску й чухаєте потилицю. Це може бути прибуткова справа, якщо тільки вас не вб'ють."
EVENT_ROAD_JOTL_17_OPTION_A,"Вимагати передоплату."
EVENT_ROAD_JOTL_17_OPTION_B,"Прийняти пропозицію роботи."
EVENT_ROAD_JOTL_17_RESULT_A,"«Я що, схожа на джерело грошей?» — недовірливо кричить Інокска. Ваше місце за столом раптом стає неймовірно незручним. «Беріться за роботу чи ні, але припиніть марнувати мій час!»"
EVENT_ROAD_JOTL_17_RESULT_B,"Інокска полегшено зітхає, а потім на її обличчі з'являється посмішка. «Добре знати, що я можу на вас розраховувати, — каже вона. — Ми, вигнанці, маємо триматися разом, чи не так?» Ви вже збираєтеся посперечатися з її оцінкою вашого статусу, коли вона дістає кілька монет на знак подяки."
EVENT_ROAD_JOTL_18_INTRO,"Ви помічаєте, як до «Сплячого Лева» заходить добре одягнений купець-Валрат, який виглядає тут абсолютно недоречно. Він оглядає кімнату, з огидою морщачись від усього, що відбувається всередині. Зрештою він помічає ваш стіл і підходить.<br><br>«Мені потрібні ваші послуги, найманці», — каже він крізь напарфумлену хустинку. Він стверджує, що в Нових Доках якісь неприємності. Схоже, там відбуваються якісь дивні події, які ніхто не може пояснити: товари переміщуються або взагалі зникають, лунають моторошні звуки, з'являються видіння жахливих демонів. «Сподіваюся, ви зможете все розслідувати та зупинити будь-які сили, що змовилися підірвати наше економічне панування»."
EVENT_ROAD_JOTL_18_OPTION_A,"Вимагати передоплату."
EVENT_ROAD_JOTL_18_OPTION_B,"Прийняти пропозицію роботи."
EVENT_ROAD_JOTL_18_RESULT_A,"Валрат виглядає жахнутим вашою агресивністю, але незабаром ламається під тиском і кидає кілька монет у ваш бік. «Добре, тільки розберіться з цією проблемою якнайшвидше!» — вимагає він, вибігаючи із закладу."
EVENT_ROAD_JOTL_18_RESULT_B,"«Чудово!» — каже Валрат крізь свою хустинку. Здається, навіть невелика сума грошей може мати велике значення в цьому місці.<br><br>«Якщо тільки ви зможете змиритися із цим смородом», — додає він, повертаючись і виходячи за двері."
EVENT_ROAD_JOTL_19_INTRO,"Ви вже допиваєте свій третій кухоль у «Сплячому Леві», коли з холодного нічного повітря заходить посланець. Ви трохи бурмотите, коли пронизливий вітер із відчинених дверей досягає вашого столу.<br><br>Посланець виглядає дещо розгубленим. Він явно когось шукає, але йому не дуже щастить.<br><br>«Багряний Страж, — нерішуче бурмоче він. — Тут є десь Багряний Страж?»"
EVENT_ROAD_JOTL_19_OPTION_A,"Подивитися, що приніс посланець."
EVENT_ROAD_JOTL_19_OPTION_B,"Щосили намагатися ігнорувати чоловіка та вітер."
EVENT_ROAD_JOTL_19_RESULT_A,"Посланець передає клаптик паперу, і обличчя Багряного Стража темніє. На пергаменті немає нічого, крім простого зображення змії, що обвила сонце, і минає ще кілька замовлень випивки, перш ніж Багряний Страж знову заговорює. Він пояснює, що вигнання з Багряного Ордену в Джінді зазвичай означає смерть, але Багряний Страж утік до Похмурої Гавані, і тепер доля наздогнала його. На звороті написана якась локація. Багряний Страж повинен вирушити туди найближчим часом, інакше на нього почнеться полювання."
EVENT_ROAD_JOTL_19_RESULT_B,"Зрештою посланець іде, виглядаючи ще більш розгубленим, ніж коли зайшов."
EVENT_ROAD_JOTL_20_INTRO,"Ви насолоджуєтеся обідом із невстановленого м'яса, купленого у вуличного торговця-Куатрила на Мовчазному мосту, коли натрапляєте на цікавий плакат. Він сповіщає, що за кілька днів на площі Похмурої Гавані відбудеться великий бійцівський турнір.<br><br>Спочатку ви не звертаєте на це уваги, вважаючи, що це не варте вашого часу, але, можливо, ви зацікавитеся, якщо вам є що доводити."
EVENT_ROAD_JOTL_20_OPTION_A,"Записатися на участь у змаганні."
EVENT_ROAD_JOTL_20_OPTION_B,"Ігнорувати плакат і продовжити насолоджуватися обідом."
EVENT_ROAD_JOTL_20_RESULT_A,"Рубака дуже хоче взяти участь у турнірі та довести, що він найкращий боєць, тож ви погоджуєтеся. Однак це індивідуальне змагання, тому решті з вас доведеться вболівати з трибун."
EVENT_ROAD_JOTL_20_RESULT_B,"М'ясо виявляється дуже смачним, хоча приблизно через годину це призводить до болю в шлунку."
EVENT_ROAD_JOTL_21_INTRO,"Ваш гаманець зовсім порожній після невдалої ночі азартних ігор у «Сплячому Леві». Ви розмірковуєте над тим, як краще зшахраювати й не попастися, коли вас охоплює сильне негативне передчуття.<br><br>Спочатку ви думаєте, що це провина, але у вас виникають підозри, що це може быть щось набагато гірше. Ви намагаєтеся зосередитися на грі, але щось жахливе не дає вам спокою."
EVENT_ROAD_JOTL_21_OPTION_A,"Спробувати знайти джерело негативної енергії."
EVENT_ROAD_JOTL_21_OPTION_B,"Позбутися цього нав'язливого відчуття й зосередитися на грі."
EVENT_ROAD_JOTL_21_RESULT_A,"Пустковартова виходить зі «Сплячого Лева» й піднімає руку до неба. Дуже швидко вона повертається до решти загону з панічним виразом обличчя. Пустковартова попереджає, що з Пусткою щось не так. Те, що перебуває в ній, прокидається, і в результаті наближається щось жахливе."
EVENT_ROAD_JOTL_21_RESULT_B,"Зрештою удача повертається до вас, і ви принаймні можете повернути втрачені гроші. Ви думаєте, що передчуття було не таким уже й поганим."
EVENT_ROAD_JOTL_22_INTRO,"Ви приємно прогулюєтеся Новим Ринком, розглядаючи неймовірно дорогі товари, які ніколи не змогли б собі дозволити, коли помічаєте суворого на вигляд чоловіка, що пробирається крізь натовп. Він здається тут недоречним.<br><br>Якби вам довелося вгадувати, ви б сказали, що він якийсь тесля. Коли він наближається, у вас виникає відчуття, що ви його знаєте, але ви не можете зрозуміти чому."
EVENT_ROAD_JOTL_22_OPTION_A,"Привітатися з чоловіком."
EVENT_ROAD_JOTL_22_OPTION_B,"Проігнорувати це відчуття й продовжити займатися своїми справами."
EVENT_ROAD_JOTL_22_RESULT_A,"Обличчя чоловіка світлішає, коли ви наближаєтеся. Ви впізнаєте в ньому колишнього боса Підривника. Виявляється, він насправді радий зустрічі, оскільки має для вас роботу, для якої ви можете підійти якнайкраще. У нього є будівля в Монетному окрузі, яку потрібно знести. Багатий купець перекупив цю нерухомість у когось іншого, щоб розширити свій маєток. Проблема в тому, що попередній власник, як кажуть, прокляв її в пориві гніву. Зруйнувати її може бути непросто."
EVENT_ROAD_JOTL_22_RESULT_B,"Трохи пройшовшись далі, ви знаходите справді дивовижний гобелен із вишитою великою сценою битви між людьми та Валратами, який, як кажуть, знайшли на стародавньому складі в Пекловороті. Він коштує більше грошей, ніж ви витратили за все своє життя."
Quest_JOTL_001_RoadsideAmbush_NAME,"Засідка біля дороги"
Quest_JOTL_001_RoadsideAmbush_DESC,"Дружина місцевого коваля шукає інформацію про те, де він може бути."
Quest_JOTL_001_RoadsideAmbush_LIST,"Розслідувати зникнення коваля"
Quest_JOTL_001_RoadsideAmbush_INTRO_GH_1,"Новий день, і хоч ви страждаєте від жахливого похмілля, ви виповзаєте з ліжка, щоб зустрітися з дружиною місцевого коваля Сенді, якій якось удалося нашкребти достатньо грошей, щоб найняти вас для пошуків свого чоловіка. Ви не впевнені, звідки взялися ці гроші, але хай там яке було джерело, вони точно дісталися їй нелегко. Невдовзі після цього ви готуєтеся вийти з міста до Тихої Річки для розслідування."
Quest_JOTL_001_RoadsideAmbush_INTRO_GH_2,"Щоправда, Сенді платить замало, але ви — один із найвідоміших загонів найманців у цьому захолустному містечку. Звісно, час від часу не завадить узятися за благодійну справу. Зрештою, отримання хороших замовлень залежить від підтримання репутації. Ось чому вам дійсно потрібно в усьому розібратися й не повертатися до вдови ні з чим, крім мозолів на ногах."
Quest_JOTL_001_RoadsideAmbush_INTRO_GH_3,"Крім того, мабуть, не варто називати її вдовою в обличчя, принаймні доти, доки доля коваля не підтвердиться.<br><br>Однак, з огляду на те, що жоден зі зниклих не повернувся, перспективи похмурі."
Quest_JOTL_001_RoadsideAmbush_INTRO_TRAVEL_1,"Невдовзі після того, як ви проходите крізь одну з численних міських брам Похмурої Гавані, ви помічаєте рух попереду й негайно оголюєте зброю. Сонце опустилося низько, погіршуючи видимість, але ви чітко бачите якісь старі дерев'яні барикади, що перегороджують дорогу перед вами. І справді, коли ви обережно наближаєтеся до місця події, з-за перешкод вискакують Вермлінги, розмахуючи грубими мечами та гострими палицями."
Quest_JOTL_001_RoadsideAmbush_INTRO_TRAVEL_2,"Треба визнати, ви неабияк втомилися через те, що вчора пізно засиділися в таверні, але все ж ці перерощені щури точно обрали не ту групу мандрівників для засідки. Зрештою, це ваша робота, і ви завжди готові показати, що на кожного, хто наважиться вам погрожувати, чекає лише один кінець."
Quest_JOTL_001_RoadsideAmbush_INTRO,"Напад Вермлінгів, коли все, чого ви хотіли, це побути в теплі з гарячою їжею та м'яким ліжком — що ж, це вас злить. Досить сильно, щоб повбивати цих паршивих істот, перш ніж ви впадете від утоми.<br><br>Звісно, у Вермлінгів інші плани. Вони лепечуть про те, що хочуть отримати ваші монети й м'ясо з ваших кісток. Мерзенні тварюки, справді. Найкраще ігнорувати їхнє гавкання й швидко із цим покінчити."
Quest_JOTL_001_RoadsideAmbush_OUTRO_TRAVEL_1,"Ви витираєте кров останнього Вермлінга з обличчя, і ваші думки повертаються до «Сплячого Лева». Напевно, там уже приготували печеню. Вона була б такою приємно теплою та заспокійливою, і це прямо за тією брамою — так близько, що ви вже відчуваєте її смак..."
Quest_JOTL_001_RoadsideAmbush_OUTRO_TRAVEL_2,"Але потім з'являється інша думка. Це дуже незвично — навіть нахабно — для зграї Вермлінгів діяти так близько до міста. Чи можуть вони стояти за низкою зникнень?"
Quest_JOTL_001_RoadsideAmbush_OUTRO_TRAVEL_3,"Це малоймовірно, але варто перевірити, особливо враховуючи, що це місце засідки не схоже на їхню базу. Поруч, мабуть, є лігво, де, якщо пощастить, знайдеться більше інформації про зниклого коваля."
Quest_JOTL_001_RoadsideAmbush_OUTRO_TRAVEL_4,"І скарби. Скарби не завадять."
Quest_JOTL_002_AHoleInTheWall_NAME,"Діра в стіні"
Quest_JOTL_002_AHoleInTheWall_DESC,"Час з'ясувати, звідки взялися Вермлінги, які на вас напали."
Quest_JOTL_002_AHoleInTheWall_LIST,"Дослідити місце засідки Вермлінгів"
Quest_JOTL_002_AHoleInTheWall_INTRO_GH_1,"Ви не можете позбутися тривожного відчуття, що ті Вермлінги були занадто близько до міських стін, і вирішуєте знову відвідати місце їхньої засідки. Можливо, ви знайдете там і сліди коваля?"
Quest_JOTL_002_AHoleInTheWall_INTRO_TRAVEL_1,"Сліди легко помітити. Вермлінги ніколи не вирізнялися обережністю. Ви йдете за подряпинами й слідами волочіння тіла, аж поки не опиняєтеся біля стін Похмурої Гавані"
Quest_JOTL_002_AHoleInTheWall_INTRO,"Сонце вже зовсім низько, але щось тут не так. Це не просто тінь, що падає на нижню частину стіни. Це діра. Вермлінги влаштували собі лігво, прокопавши хід прямо в стіні. Які працьовиті."
Scenario_JOTL_002_AHoleInTheWall_Start_1,"Ви пригинаєтеся й намагаєтеся підкрастися ближче, але біля входу, мабуть, стоїть варта. Лунає пронизливий вереск, і кілька Вермлінгів вискакують із темряви, розмахуючи своєю тупою, погано зробленою зброєю. Тепер немає іншого вибору, окрім як захищатися."
Quest_JOTL_002_AHoleInTheWall_OUTRO_TRAVEL_1,"Очистивши це брудне лігво від жалюгідних істот, ви не поспішаючи обшукуєте кожен куточок. Звісно, міська варта захоче дізнатися про це... не може бути безпечним те, що Вермлінги риють тунелі в стінах. Та й без того важко відбивати їхні набіги."
Quest_JOTL_002_AHoleInTheWall_OUTRO_TRAVEL_2,"Під гнилими дерев'яними дошками вам удається знайти несподівано велику кількість золота — і, перебираючи скарби, ви знаходите дивну записку. Написана кривими каракулями, вона містить деталі якоїсь ділової угоди між Вермлінгами та людиною на ім'я Роланд."
Quest_JOTL_002_AHoleInTheWall_OUTRO_TRAVEL_3,"Судячи з усього, в обмін на постачання свіжих трупів Роланд платив Вермлінгам золотом. І судячи з тутешньої суми, Вермлінгам удалося вбити чимало людей, перш ніж ви поклали цьому край"
Quest_JOTL_002_AHoleInTheWall_OUTRO_TRAVEL_4,"Це єдина зачіпка, яка у вас є, тож час розшукати цього Роланда. Після відпочинку в «Сплячому Леві», звісно."
Quest_JOTL_003_TheBlackShip_NAME,"Чорний корабель"
Quest_JOTL_003_TheBlackShip_DESC,"Роланд — ключ до зникнень, час почати розпитувати про нього в місті"
Quest_JOTL_003_TheBlackShip_LIST,"Дізнатися більше про Роланда"
Quest_JOTL_003_TheBlackShip_INTRO_GH_1,"Наївшись печені й добре відпочивши в «Сплячому Леві», ви вирушаєте рано-вранці. Першочергове завдання — знайти інформацію про когось на ім'я Роланд, який, схоже, займається купівлею свіжих трупів, і ви хочете знати чому."
Quest_JOTL_003_TheBlackShip_INTRO_GH_2,"Спочатку справа просувається повільно, але зрештою на Тонучому Ринку ви знаходите пару Вермлінгів, які здаються надто зацікавленими в утилізації трупів. Після кількох грубих переконань вони зізнаються, що їм теж платить чоловік на ім'я Роланд за доставку тіл. Вони навіть називають вам місце здачі... якийсь покинутий корабель у Старих Доках."
Quest_JOTL_003_TheBlackShip_INTRO,"Ви прямуєте до пірса й озираєтеся навколо. Підозріле судно вдається помітити досить швидко. Мало того, що з його корпусу витікає якась мерзенна чорна рідина, так ще й двоє чоловіків у червоних мантіях стоять на варті біля доку. Простеживши за ними кілька годин, ви з полегшенням бачите, як вони заходять всередину корабля. Час тихо піти слідом і подивитися, що там відбувається."
